,Rating,Title,Review,Review_Date
202,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
203,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
204,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
205,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
206,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
207,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
208,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
209,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
210,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
211,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
212,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
213,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
214,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
215,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
216,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
217,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
218,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
219,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
220,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
221,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
222,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
223,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
224,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
225,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
226,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
227,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
228,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
229,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
230,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
231,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
232,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
233,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
234,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
235,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
236,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
237,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
238,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
239,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
240,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
241,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
242,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
243,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
244,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
245,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
246,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
247,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
248,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
249,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
250,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
251,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
252,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
253,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
254,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
255,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
256,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
257,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
258,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
259,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
260,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
261,4.0,After a two month review,"Hi all,This is a two month usage review of Nord 3 CE Lite 5G from OnePlus.1. For regular usage user can afford battery life all day, but if you are a heavy user then you should carry a charger or power bank with you. Cause it will drain 6-7 hours.2. Camera Quality is not bad at the same time not the best. It's taking good amount of pixels on outdoor, but low light density are need improvement. Especially night time shots.3. Finger print sensor are poor on this device 5 out of 10 times it will unlock your screen.4. Coming to OS Android latest 13 version running on but you will get only one upgrade on this model.5. Performance wise this device done a very good job even a mid-variant Snapdragon 695 chipset.6. Overall this device is good for those who need for regular use. If you want a great performance and camera quality with better battery life. Then you have to spend extra from your packet for premium smartphone.",8 December 2023
262,4.0,OnePlus Nord CE 3 5G - A Perfect Blend of Style and Performance,"The OnePlus Nord CE 3 5G is a device that doesn’t disappoint. It seamlessly combines style with functionality and provides an excellent user experience across the board.Appearance (5/5): The appearance of the Nord CE 3 is sleek and elegant. The slim design, the choice of materials, and the placement of the camera module all scream premium. It’s a phone that you’ll be proud to show off.Ease of Use (4.5/5): OnePlus continues its tradition of providing a clean, user-friendly interface. OxygenOS is intuitive, responsive, and customizable. Navigating through apps and settings is a breeze, making it ideal for both tech-savvy users and those new to smartphones.Battery Life (4/5): The battery life on the Nord CE 3 is commendable. It easily gets me through a full day of moderate to heavy usage. While it may not be the best in its category, it’s reliable, and the Warp Charge feature ensures a quick top-up when needed.Fingerprint Sensor (4.5/5): The fingerprint sensor on this device is fast and accurate. It provides added security while making unlocking the phone a breeze. The sensor’s placement on the front is convenient and intuitive.In summary, the OnePlus Nord CE 3 5G is a fantastic all-rounder. It boasts a stylish appearance, is exceptionally easy to use, offers reliable battery life, and features a responsive fingerprint sensor. If you’re looking for a 5G phone that delivers on both looks and performance, the Nord CE 3 is an excellent choice.",29 October 2023
263,4.0,All rounder except camera,"The phone is good overall, the quality, the software, the connectivity but camera is really bad.",14 December 2023
264,4.0,Good performance.. fast access to all applications,"I liked this smartphone, using since purchased..fast charging, camera not upto the mark..3x zoom not giving good results.",12 December 2023
265,4.0,Good camera,This is a good product and photo shoot by camera is good 👍,15 December 2023
266,4.0,Smart budget Fon.,Awesome Fon at this budget.,14 December 2023
267,4.0,Perfect,Perfect phone for mid budget. Nice for family ladies.,15 December 2023
268,4.0,Satiesfying performancecompromised looks,Camera fine.Performance up to the markOverall a good productNot as stylish as other one plus phones,18 October 2023
269,4.0,Good product,It's good performance design colour also budget friendly and everything... but in my opinion the back camera is not good enough as I thought. The quality of back camera is ok ok.. need to work on back camera.,18 October 2023
270,4.0,Fantastic Phone with Impressive Features!,"I recently upgraded to the OnePlus Nord CE 3 Lite 5G in Pastel Lime, and I've been thoroughly impressed with its performance and features. Here's what I love about it:**Pros:**1. **Affordable 5G:** The inclusion of 5G capabilities in a phone at this price point is a huge plus. Streaming and downloading content is lightning-fast, and I'm future-proofed for upcoming advancements in connectivity.2. **Sleek Design:** The Pastel Lime color is unique and adds a refreshing touch to the device. The slim profile and lightweight build make it comfortable to hold and use for extended periods.3. **Smooth Performance:** With 8GB of RAM, multitasking is a breeze. The phone handles various apps and tasks simultaneously without any lag or slowdowns.4. **Ample Storage:** The 128GB storage provides enough room for all my apps, photos, and videos. Plus, the option to expand storage via microSD card is a thoughtful addition.5. **Impressive Display:** The AMOLED display offers vibrant colors and deep blacks, enhancing my media consumption experience. The Full HD+ resolution ensures crisp visuals, whether I'm watching videos or browsing the web.**Cons:**1. **Average Camera Performance:** While the camera setup is decent, it doesn't quite match the quality of flagship devices. Photos in well-lit conditions turn out great, but low-light performance could be improved.2. **Plastic Back:** While the plastic back keeps the device lightweight, it may not feel as premium as glass-backed phones. A good quality case helps mitigate this, though.3. **Battery Life:** The battery life is good, but not exceptional. It easily lasts me through a day of moderate use, but I'd appreciate a bit more juice for heavy usage days.In conclusion, the OnePlus Nord CE 3 Lite 5G offers a compelling package of features at an affordable price. It's a great option for users who want to experience 5G connectivity without breaking the bank. The design, performance, and display quality are its standout features, making it an excellent value for money. While there are a few areas for improvement, the overall experience this phone provides is truly remarkable.",17 August 2023
